,id,expectedmoney,capital,foodtype_고기,foodtype_디저트,foodtype_베이커리,foodtype_분식,foodtype_일식,foodtype_중식,foodtype_치킨,foodtype_커피,foodtype_패스트푸드,foodtype_퓨전음식,foodtype_한식,locate_경기,locate_서울,locate_인천
0,723583,1780.0,20000,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,720667,890.0,18000,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3,722103,1550.0,11000,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4,722222,3750.0,42000,0,0,0,0,0,0,0,0,0,1,0,1,0,0
5,597994,1800.0,23000,0,0,0,0,0,0,0,0,0,1,0,0,0,1
7,718264,900.0,21000,0,0,0,0,0,0,0,0,0,1,0,0,1,0
8,722525,2470.0,29000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
9,715347,1070.0,23000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
10,672747,900.0,12000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
11,672797,900.0,12000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
12,721195,1340.0,56000,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14,652087,450.0,9000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
15,710962,900.0,18000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16,715205,770.0,25000,0,0,1,0,0,0,0,0,0,0,0,1,0,0
17,722591,1420.0,55000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
18,720663,825.0,16500,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20,722100,730.0,15000,0,0,0,0,0,0,0,0,1,0,0,0,1,0
21,721201,1000.0,35000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
22,718750,950.0,17000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
23,715334,710.0,23000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
24,712420,1130.0,35000,0,0,1,0,0,0,0,0,0,0,0,0,0,1
25,682668,915.0,24000,0,0,1,0,0,0,0,0,0,0,0,1,0,0
26,715207,770.0,25000,0,0,1,0,0,0,0,0,0,0,0,1,0,0
27,722559,1750.0,25000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
28,721783,680.0,25000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
29,722565,1480.0,51000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
30,721557,800.0,19000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
31,696350,1250.0,17000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
32,721123,1350.0,28000,0,0,1,0,0,0,0,0,0,0,0,1,0,0
33,710907,1200.0,25000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
35,716966,2470.0,29000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
37,710960,850.0,16000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
38,723623,1780.0,20000,1,0,0,0,0,0,0,0,0,0,0,0,1,0
39,720898,670.0,37000,0,0,1,0,0,0,0,0,0,0,0,1,0,0
40,715204,770.0,25000,0,0,1,0,0,0,0,0,0,0,0,1,0,0
41,716979,1750.0,25000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
